UF;População;Casos novos notificados na semana epidemiológica;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos novos notificados na semana epidemiológica;Óbitos Acumulados;Taxa mortalidade (100 mil hab)
AC;881.935;891;158.669;7.969,18;4;2.040;21,43
AL;3.337.357;1.334;335.176;2.789,18;11;7.196;24,36
AM;4.144.597;175;624.864;4.608,75;4;14.418;14,04
AP;845.731;60;182.516;6.562,73;0;2.165;16,91
BA;14.873.064;6.287;1.769.063;3.348,56;83;31.230;25,03
CE;9.132.078;3.496;1.437.171;5.257,69;11;28.067;35,71
DF;3.015.268;4.114;888.063;12.212,91;0;11.838;24,21
ES;4.018.650;6.615;1.311.144;16.951,44;30;14.964;40,66
GO;7.018.354;11.898;1.823.980;12.482,60;68;27.766;43,76
MA;7.075.181;808;488.093;1.659,31;6;11.034;9,29
MG;21.168.791;53.104;4.079.422;8.762,28;189;64.447;36,79
MS;2.778.986;2.659;593.209;7.653,65;17;10.903;42,28
MT;3.484.466;5.213;859.241;8.764,30;13;15.015;34,96
PA;8.602.865;878;861.041;2.737,73;10;18.953;21,64
PB;4.018.127;3.307;700.127;5.863,83;16;10.525;23,10
PE;9.557.071;6.132;1.122.935;4.991,57;29;22.579;22,23
PI;3.273.227;2.159;413.535;2.415,45;21;8.027;22,97
PR;11.433.957;15.427;2.861.213;11.039,55;47;45.718;42,23
RJ;17.264.943;10.149;2.701.378;7.810,78;172;76.508;40,75
RN;3.506.853;1.545;582.618;5.568,13;71;8.689;31,85
RO;1.777.225;4.042;471.673;10.522,75;10;7.399;37,25
RR;605.761;180;181.245;8.610,49;0;2.180;16,84
RS;11.377.239;32.435;2.895.571;12.203,79;72;41.508;44,51
SC;7.164.788;8.139;1.956.153;9.941,44;27;22.583;33,43
SE;2.298.696;799;358.281;3.469,05;1;6.482;18,49
SP;45.919.049;26.557;6.315.333;4.048,13;247;177.411;48,34
TO;1.572.866;2.527;359.567;7.884,27;0;4.208;17,10
