UF;População;Casos novos notificados na semana epidemiológica;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos novos notificados na semana epidemiológica;Óbitos Acumulados;Taxa mortalidade (100 mil hab)
AC;881.935;11;88.384;5.294,61;1;1.851;119,62
AL;3.337.357;127;242.080;4.104,72;1;6.383;116,47
AM;4.144.597;577;433.813;5.603,42;7;13.835;206,05
AP;845.731;363;126.981;6.931,28;7;2.022;129,59
BA;14.873.064;6.054;1.270.858;5.218,66;42;27.506;123,36
CE;9.132.078;1.807;956.325;6.792,90;41;24.806;162,21
DF;3.015.268;933;519.811;8.879,28;13;11.108;227,01
ES;4.018.650;1.554;629.871;9.471,12;21;13.328;205,07
GO;7.018.354;3.039;947.704;9.098,89;25;24.678;254,66
MA;7.075.181;457;370.645;2.398,33;11;10.377;82,98
MG;21.168.791;5.290;2.223.985;7.922,52;46;56.659;210,96
MS;2.778.986;597;380.405;8.839,74;8;9.728;265,60
MT;3.484.466;1.068;553.852;10.737,60;13;13.797;267,76
PA;8.602.865;2.041;625.463;3.855,24;29;17.089;114,96
PB;4.018.127;775;464.335;7.398,30;12;9.596;147,23
PE;9.557.071;1.610;645.681;4.422,78;41;20.447;112,81
PI;3.273.227;220;334.440;5.843,19;9;7.275;135,49
PR;11.433.957;3.323;1.598.302;10.319,95;12;40.889;287,70
RJ;17.264.943;2.032;1.352.824;5.313,85;63;69.467;254,08
RN;3.506.853;1.164;387.202;7.666,39;6;7.572;130,57
RO;1.777.225;971;284.626;10.613,57;21;6.734;276,39
RR;605.761;295;129.086;9.966,97;4;2.078;213,12
RS;11.377.239;6.934;1.507.117;9.274,70;35;36.444;241,95
SC;7.164.788;4.358;1.243.535;10.455,13;42;20.186;208,18
SE;2.298.696;57;278.530;7.177,37;1;6.057;155,09
SP;45.919.049;5.793;4.456.108;6.511,28;109;155.205;236,13
TO;1.572.866;1.445;235.558;9.220,24;12;3.939;171,85
