UF;População;Casos novos notificados na semana epidemiológica;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos novos notificados na semana epidemiológica;Óbitos Acumulados;Taxa mortalidade (100 mil hab)
AC;881.935;958;166.045;836,34;1;2.067;3,06
AL;3.337.357;676;343.586;252,00;17;7.317;3,63
AM;4.144.597;143;638.685;333,47;2;14.484;1,59
AP;845.731;456;186.825;509,50;1;2.170;0,59
BA;14.873.064;6.180;1.823.743;367,64;54;31.857;4,22
CE;9.132.078;4.720;1.491.654;596,61;10;28.215;1,62
DF;3.015.268;2.337;927.220;1.298,62;0;11.952;3,78
ES;4.018.650;3.823;1.360.872;1.237,43;16;15.154;4,73
GO;7.018.354;17.877;1.984.674;2.289,63;63;28.447;9,70
MA;7.075.181;1.440;498.837;151,85;2;11.080;0,65
MG;21.168.791;21.600;4.236.687;742,91;130;66.096;7,79
MS;2.778.986;3.189;622.624;1.058,48;21;11.172;9,68
MT;3.484.466;6.926;887.528;811,80;18;15.149;3,85
PA;8.602.865;1.105;886.310;293,73;33;19.166;2,48
PB;4.018.127;2.077;717.346;428,53;11;10.593;1,69
PE;9.557.071;4.696;1.211.807;929,91;16;23.192;6,41
PI;3.273.227;1.514;433.695;615,91;9;8.398;11,33
PR;11.433.957;12.140;2.979.254;1.032,37;86;46.758;9,10
RJ;17.264.943;7.695;2.892.619;1.107,68;37;77.765;7,28
RN;3.506.853;576;596.172;386,50;4;9.235;15,57
RO;1.777.225;2.782;490.290;1.047,53;8;7.485;4,84
RR;605.761;156;186.340;841,09;0;2.201;3,47
RS;11.377.239;21.734;3.089.762;1.706,84;89;42.646;10,00
SC;7.164.788;6.710;2.056.884;1.405,92;31;22.993;5,72
SE;2.298.696;211;365.455;312,09;8;6.540;2,52
SP;45.919.049;23.950;6.763.310;975,58;282;182.254;10,55
TO;1.572.866;1.434;372.640;831,16;4;4.252;2,80
