UF;População;Casos novos notificados na semana epidemiológica;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos novos notificados na semana epidemiológica;Óbitos Acumulados;Taxa mortalidade (100 mil hab)
AC;881.935;884;41.620;4.719,17;15;795;90,14
AL;3.337.357;1.693;104.818;3.140,75;35;2.489;74,58
AM;4.144.597;5.006;201.013;4.850,00;112;5.285;127,52
AP;845.731;1.908;68.201;8.064,15;24;925;109,37
BA;14.873.064;11.287;493.400;3.317,41;146;9.129;61,38
CE;9.132.078;7.259;335.091;3.669,38;38;9.990;109,39
DF;3.015.268;3.773;251.701;8.347,55;61;4.259;141,25
ES;4.018.650;9.855;248.232;6.177,00;154;5.080;126,41
GO;7.018.354;4.479;308.868;4.400,86;54;6.805;96,96
MA;7.075.181;895;200.938;2.840,04;34;4.500;63,60
MG;21.168.791;20.578;542.909;2.564,67;317;11.902;56,22
MS;2.778.986;5.597;133.761;4.813,30;122;2.329;83,81
MT;3.484.466;4.114;179.427;5.149,34;65;4.455;127,85
PA;8.602.865;3.745;293.540;3.412,12;64;7.188;83,55
PB;4.018.127;3.377;166.484;4.143,32;68;3.672;91,39
PE;9.557.071;7.217;222.166;2.324,62;94;9.654;101,01
PI;3.273.227;2.427;142.672;4.358,76;35;2.837;86,67
PR;11.433.957;16.278;416.566;3.643,24;318;7.974;69,74
RJ;17.264.943;14.573;434.648;2.517,52;625;25.530;147,87
RN;3.506.853;3.879;118.083;3.367,21;70;2.993;85,35
RO;1.777.225;3.142;95.729;5.386,43;74;1.817;102,24
RR;605.761;452;68.689;11.339,29;8;781;128,93
RS;11.377.239;18.894;449.674;3.952,40;420;8.872;77,98
SC;7.164.788;14.341;492.583;6.875,05;246;5.253;73,32
SE;2.298.696;4.339;112.505;4.894,30;36;2.484;108,06
SP;45.919.049;38.957;1.462.297;3.184,51;909;46.717;101,74
TO;1.572.866;1.218;90.358;5.744,80;10;1.234;78,46
